ACCESSION_NUMBER	ID	ISSUEJURISDICTIONSECUROFFERING
0001665160-17-000446	15	IN
0001665160-17-000446	16	IA
0001665160-17-000446	17	KS
0001665160-17-000446	18	KY
0001665160-17-000446	19	LA
0001665160-17-000446	20	ME
0001665160-17-000446	21	MD
0001665160-17-000446	22	MA
0001665160-17-000446	23	MI
0001665160-17-000446	24	MN
0001665160-17-000446	25	MS
0001665160-17-000446	26	MO
0001665160-17-000446	27	MT
0001665160-17-000446	28	NE
0001665160-17-000446	29	NV
0001665160-17-000446	30	NH
0001665160-17-000446	31	NJ
0001665160-17-000446	32	NM
0001665160-17-000446	33	NY
0001665160-17-000446	34	NC
0001665160-17-000446	35	ND
0001665160-17-000446	36	OH
0001665160-17-000446	37	OK
0001665160-17-000446	38	OR
0001665160-17-000446	39	PA
0001665160-17-000446	40	PR
0001665160-17-000446	41	RI
0001665160-17-000446	42	SC
0001665160-17-000446	43	SD
0001665160-17-000446	44	TN
0001665160-17-000446	45	TX
0001665160-17-000446	46	UT
0001665160-17-000446	47	VT
0001665160-17-000446	48	VA
0001665160-17-000446	49	WA
0001665160-17-000446	50	WV
0001665160-17-000446	51	WI
0001665160-17-000446	52	WY
0001665160-17-000446	3	AZ
0001665160-17-000444	3	AZ
0001665160-17-000444	4	AR
0001665160-17-000444	5	CA
0001665160-17-000444	6	CO
0001665160-17-000444	7	CT
0001665160-17-000444	8	DC
0001665160-17-000444	9	DE
0001665160-17-000444	10	FL
0001665160-17-000444	11	GA
0001665160-17-000444	12	HI
0001665160-17-000444	13	ID
0001665160-17-000444	14	IL
0001665160-17-000444	15	IN
0001665160-17-000444	16	IA
0001665160-17-000444	17	KS
0001665160-17-000444	18	KY
0001665160-17-000444	19	LA
0001665160-17-000444	20	ME
0001665160-17-000444	21	MD
0001665160-17-000444	22	MA
0001665160-17-000444	23	MI
0001665160-17-000444	24	MN
0001665160-17-000444	25	MS
0001665160-17-000444	26	MO
0001665160-17-000444	27	MT
0001665160-17-000444	28	NE
0001665160-17-000444	29	NV
0001665160-17-000444	30	NH
0001665160-17-000444	31	NJ
0001665160-17-000444	32	NM
0001665160-17-000444	33	NY
0001665160-17-000444	34	NC
0001665160-17-000444	35	ND
0001665160-17-000444	36	OH
0001665160-17-000444	37	OK
0001665160-17-000444	38	OR
0001665160-17-000444	39	PA
0001665160-17-000444	40	PR
0001665160-17-000444	41	RI
0001665160-17-000444	42	SC
0001665160-17-000444	43	SD
0001665160-17-000444	44	TN
0001665160-17-000444	45	TX
0001665160-17-000444	46	UT
0001665160-17-000444	47	VT
0001665160-17-000444	48	VA
0001665160-17-000444	49	WA
0001665160-17-000444	50	WV
0001665160-17-000444	51	WI
0001665160-17-000444	52	WY
0001665160-17-000444	1	AL
0001665160-17-000444	2	AK
0001665160-17-000441	26	MO
0001665160-17-000441	27	MT
0001665160-17-000441	28	NE
0001665160-17-000441	29	NV
0001665160-17-000441	30	NH
0001665160-17-000441	31	NJ
0001665160-17-000441	32	NM
0001665160-17-000441	33	NY
0001670254-17-000266	11	GA
0001670254-17-000266	12	HI
0001670254-17-000266	13	ID
0001670254-17-000266	14	IL
0001670254-17-000266	15	IN
0001670254-17-000266	16	IA
0001670254-17-000266	17	KS
0001670254-17-000266	18	KY
0001670254-17-000266	19	LA
0001670254-17-000266	20	ME
0001670254-17-000266	21	MD
0001670254-17-000266	22	MA
0001670254-17-000266	23	MI
0001670254-17-000266	24	MN
0001670254-17-000266	25	MS
0001670254-17-000266	26	MO
0001670254-17-000266	27	MT
0001670254-17-000266	28	NE
0001670254-17-000266	29	NV
0001670254-17-000266	30	NH
0001670254-17-000266	31	NJ
0001670254-17-000266	32	NM
0001670254-17-000266	33	NY
0001670254-17-000266	34	NC
0001665160-17-000441	34	NC
0001665160-17-000441	35	ND
0001665160-17-000441	36	OH
0001665160-17-000441	37	OK
0001665160-17-000441	38	OR
0001665160-17-000441	39	PA
0001665160-17-000441	40	PR
0001665160-17-000441	41	RI
0001665160-17-000441	42	SC
0001665160-17-000441	43	SD
0001665160-17-000441	44	TN
0001665160-17-000441	45	TX
0001670254-17-000266	35	ND
0001670254-17-000266	36	OH
0001670254-17-000266	37	OK
0001670254-17-000266	38	OR
0001670254-17-000266	39	PA
0001670254-17-000266	40	RI
0001670254-17-000266	41	SC
0001670254-17-000266	42	SD
0001670254-17-000266	43	TN
0001670254-17-000266	44	TX
0001670254-17-000266	45	UT
0001670254-17-000266	46	VT
0001670254-17-000266	47	VA
0001670254-17-000266	48	WA
0001670254-17-000266	49	WV
0001670254-17-000266	50	WI
0001670254-17-000266	51	WY
0001670254-17-000266	52	B5
0001670254-17-000266	53	GU
0001670254-17-000266	1	AL
0001670254-17-000266	2	AK
0001670254-17-000266	3	AZ
0001670254-17-000266	54	PR
0001670254-17-000266	55	VI
0001670254-17-000266	56	1V
0001670254-17-000266	4	AR
0001670254-17-000266	5	CA
0001670254-17-000266	6	CO
0001670254-17-000266	7	CT
0001670254-17-000266	8	DE
0001670254-17-000266	9	DC
0001670254-17-000266	10	FL
0001665160-17-000441	46	UT
0001665160-17-000441	47	VT
0001665160-17-000441	48	VA
0001665160-17-000441	49	WA
0001665160-17-000441	50	WV
0001665160-17-000441	51	WI
0001665160-17-000441	52	WY
0001665160-17-000441	1	AL
0001665160-17-000441	2	AK
0001665160-17-000441	3	AZ
0001665160-17-000441	4	AR
0001665160-17-000441	5	CA
0001665160-17-000441	6	CO
0001665160-17-000441	7	CT
0001665160-17-000441	8	DC
0001665160-17-000441	9	DE
0001665160-17-000441	10	FL
0001665160-17-000441	11	GA
0001665160-17-000441	12	HI
0001665160-17-000441	13	ID
0001665160-17-000441	14	IL
0001665160-17-000441	15	IN
0001665160-17-000441	16	IA
0001665160-17-000441	17	KS
0001665160-17-000441	18	KY
0001665160-17-000441	19	LA
0001665160-17-000441	20	ME
0001665160-17-000441	21	MD
0001665160-17-000441	22	MA
0001665160-17-000441	23	MI
0001665160-17-000441	24	MN
0001665160-17-000441	25	MS
0001665160-17-000439	49	WA
0001665160-17-000439	48	VA
0001665160-17-000439	51	WI
0001665160-17-000439	52	WY
0001665160-17-000439	1	AL
0001665160-17-000439	2	AK
0001665160-17-000439	3	AZ
0001665160-17-000439	4	AR
0001665160-17-000439	5	CA
0001665160-17-000439	6	CO
0001665160-17-000439	7	CT
0001665160-17-000439	8	DE
0001665160-17-000439	9	DC
0001665160-17-000439	10	FL
0001665160-17-000439	11	GA
0001665160-17-000439	12	HI
0001665160-17-000439	13	ID
0001665160-17-000439	14	IL
0001665160-17-000439	15	IN
0001665160-17-000439	16	IA
0001665160-17-000439	17	KS
0001665160-17-000439	18	KY
0001665160-17-000439	19	LA
0001665160-17-000439	20	ME
0001665160-17-000439	21	MD
0001665160-17-000439	22	MA
0001665160-17-000439	23	MI
0001665160-17-000439	24	MN
0001665160-17-000439	25	MS
0001665160-17-000439	26	MO
0001665160-17-000439	27	MT
0001665160-17-000439	28	NE
0001665160-17-000439	29	NV
0001665160-17-000439	30	NH
0001665160-17-000439	31	NJ
0001665160-17-000439	32	NM
0001665160-17-000439	33	NY
0001665160-17-000439	34	NC
0001665160-17-000439	35	ND
0001665160-17-000439	36	OH
0001665160-17-000439	37	OK
0001665160-17-000439	38	OR
0001665160-17-000439	39	PA
0001665160-17-000439	40	PR
0001665160-17-000439	41	RI
0001665160-17-000439	42	SC
0001665160-17-000439	43	SD
0001665160-17-000439	44	TN
0001665160-17-000439	45	TX
0001665160-17-000439	46	UT
0001665160-17-000439	47	VT
0001665160-17-000439	50	WV
0001665160-17-000437	28	NE
0001665160-17-000437	29	NV
0001665160-17-000437	30	NH
0001665160-17-000437	31	NJ
0001665160-17-000437	32	NM
0001665160-17-000437	33	NY
0001665160-17-000437	34	NC
0001665160-17-000437	35	ND
0001665160-17-000437	36	OH
0001665160-17-000437	37	OK
0001665160-17-000437	38	OR
0001665160-17-000437	1	AL
0001665160-17-000437	2	AK
0001665160-17-000437	3	AZ
0001665160-17-000437	4	AR
0001665160-17-000437	5	CA
0001665160-17-000437	6	CO
0001665160-17-000437	52	WY
0001665160-17-000437	39	PA
0001665160-17-000437	40	PR
0001665160-17-000437	41	RI
0001665160-17-000437	42	SC
0001665160-17-000437	43	SD
0001665160-17-000437	44	TN
0001665160-17-000437	45	TX
0001665160-17-000437	46	UT
0001665160-17-000437	47	VT
0001665160-17-000437	48	VA
0001665160-17-000437	49	WA
0001665160-17-000437	50	WV
0001665160-17-000437	51	WI
0001665160-17-000437	7	CT
0001665160-17-000437	8	DC
0001665160-17-000437	9	DE
0001665160-17-000437	10	FL
0001665160-17-000437	11	GA
0001665160-17-000437	12	HI
0001665160-17-000437	13	ID
0001665160-17-000437	14	IL
0001665160-17-000437	15	IN
0001665160-17-000437	16	IA
0001665160-17-000437	17	KS
0001665160-17-000437	18	KY
0001665160-17-000437	19	LA
0001665160-17-000437	20	ME
0001665160-17-000437	21	MD
0001665160-17-000437	22	MA
0001665160-17-000437	23	MI
0001665160-17-000437	24	MN
0001665160-17-000437	25	MS
0001665160-17-000437	26	MO
0001665160-17-000437	27	MT
0001665160-17-000434	2	AK
0001665160-17-000434	16	IA
0001665160-17-000434	17	KS
0001665160-17-000434	18	KY
0001665160-17-000434	19	LA
0001665160-17-000434	20	ME
0001665160-17-000434	21	MD
0001665160-17-000434	22	MA
0001665160-17-000434	23	MI
0001665160-17-000434	24	MN
0001665160-17-000434	25	MS
0001665160-17-000434	26	MO
0001665160-17-000434	27	MT
0001665160-17-000434	28	NE
0001665160-17-000434	29	NV
0001665160-17-000434	30	NH
0001665160-17-000434	31	NJ
0001665160-17-000434	32	NM
0001665160-17-000434	33	NY
0001665160-17-000434	34	NC
0001665160-17-000434	35	ND
0001665160-17-000434	36	OH
0001665160-17-000434	37	OK
0001665160-17-000434	38	OR
0001665160-17-000434	39	PA
0001665160-17-000434	40	PR
0001665160-17-000434	41	RI
0001665160-17-000434	42	SC
0001665160-17-000434	43	SD
0001665160-17-000434	44	TN
0001665160-17-000434	45	TX
0001665160-17-000434	46	UT
0001665160-17-000434	47	VT
0001665160-17-000434	48	VA
0001665160-17-000434	49	WA
0001665160-17-000434	50	WV
0001665160-17-000434	51	WI
0001665160-17-000434	52	WY
0001665160-17-000434	3	AZ
0001665160-17-000434	4	AR
0001665160-17-000434	5	CA
0001665160-17-000434	6	CO
0001665160-17-000434	7	CT
0001665160-17-000434	8	DC
0001665160-17-000434	9	DE
0001665160-17-000434	10	FL
0001665160-17-000434	11	GA
0001665160-17-000434	12	HI
0001665160-17-000434	13	ID
0001665160-17-000434	14	IL
0001665160-17-000434	15	IN
0001665160-17-000434	1	AL
0001665160-17-000431	41	RI
0001665160-17-000431	37	OK
0001665160-17-000431	43	SD
0001665160-17-000431	44	TN
0001665160-17-000431	45	TX
0001665160-17-000431	46	UT
0001665160-17-000431	47	VT
0001665160-17-000431	48	VA
0001665160-17-000431	49	WA
0001665160-17-000431	50	WV
0001665160-17-000431	51	WI
0001665160-17-000431	52	WY
0001665160-17-000431	38	OR
0001665160-17-000431	39	PA
0001665160-17-000431	40	PR
0001665160-17-000431	1	AL
0001665160-17-000431	2	AK
0001665160-17-000431	3	AZ
0001665160-17-000431	4	AR
0001665160-17-000431	5	CA
0001665160-17-000431	6	CO
0001665160-17-000431	7	CT
0001665160-17-000431	8	DC
0001665160-17-000431	9	DE
0001665160-17-000431	10	FL
0001665160-17-000431	11	GA
0001665160-17-000431	12	HI
0001665160-17-000431	13	ID
0001665160-17-000431	14	IL
0001665160-17-000431	15	IN
0001665160-17-000431	16	IA
0001665160-17-000431	17	KS
0001665160-17-000431	18	KY
0001665160-17-000431	19	LA
0001665160-17-000431	20	ME
0001665160-17-000431	21	MD
0001665160-17-000431	22	MA
0001665160-17-000431	23	MI
0001665160-17-000431	24	MN
0001665160-17-000431	25	MS
0001665160-17-000431	26	MO
0001665160-17-000431	27	MT
0001665160-17-000431	28	NE
0001665160-17-000431	29	NV
0001665160-17-000431	30	NH
0001665160-17-000431	31	NJ
0001665160-17-000431	32	NM
0001665160-17-000431	33	NY
0001665160-17-000431	34	NC
0001665160-17-000431	35	ND
0001665160-17-000431	36	OH
0001665160-17-000431	42	SC
0001665160-17-000428	30	NH
0001665160-17-000428	31	NJ
0001665160-17-000428	32	NM
0001665160-17-000428	33	NY
0001665160-17-000428	34	NC
0001665160-17-000428	35	ND
0001665160-17-000428	36	OH
0001665160-17-000428	37	OK
0001665160-17-000428	38	OR
0001665160-17-000428	39	PA
0001665160-17-000428	40	PR
0001665160-17-000428	41	RI
0001665160-17-000428	42	SC
0001665160-17-000428	43	SD
0001665160-17-000428	44	TN
0001665160-17-000428	45	TX
0001665160-17-000428	46	UT
0001665160-17-000428	47	VT
0001665160-17-000428	48	VA
0001665160-17-000428	49	WA
0001665160-17-000428	50	WV
0001665160-17-000428	51	WI
0001665160-17-000428	52	WY
0001665160-17-000428	1	AL
0001665160-17-000428	2	AK
0001665160-17-000428	3	AZ
0001665160-17-000428	4	AR
0001665160-17-000428	5	CA
0001665160-17-000428	6	CO
0001665160-17-000428	7	CT
0001665160-17-000428	8	DC
0001665160-17-000428	9	DE
0001665160-17-000428	10	FL
0001665160-17-000428	11	GA
0001665160-17-000428	12	HI
0001665160-17-000428	13	ID
0001665160-17-000428	14	IL
0001665160-17-000428	15	IN
0001665160-17-000428	16	IA
0001665160-17-000428	17	KS
0001665160-17-000428	18	KY
0001665160-17-000428	19	LA
0001665160-17-000428	20	ME
0001665160-17-000428	21	MD
0001665160-17-000428	22	MA
0001665160-17-000428	23	MI
0001665160-17-000428	24	MN
0001665160-17-000428	25	MS
0001665160-17-000428	26	MO
0001665160-17-000428	27	MT
0001665160-17-000428	28	NE
0001665160-17-000428	29	NV
0001665160-17-000426	6	CO
0001665160-17-000426	7	CT
0001665160-17-000426	8	DE
0001665160-17-000426	9	DC
0001665160-17-000426	10	FL
0001665160-17-000426	11	GA
0001665160-17-000426	12	HI
0001665160-17-000426	13	ID
0001665160-17-000426	14	IL
0001665160-17-000426	15	IN
0001665160-17-000426	16	IA
0001665160-17-000426	17	KS
0001665160-17-000426	18	KY
0001665160-17-000426	19	LA
0001665160-17-000426	20	ME
0001665160-17-000426	21	MD
0001665160-17-000426	22	MA
0001665160-17-000426	51	WI
0001665160-17-000426	52	WY
0001665160-17-000426	50	WV
0001665160-17-000426	23	MI
0001665160-17-000426	24	MN
0001665160-17-000426	25	MS
0001665160-17-000426	26	MO
0001665160-17-000426	27	MT
0001665160-17-000426	28	NE
0001665160-17-000426	29	NV
0001665160-17-000426	30	NH
0001665160-17-000426	31	NJ
0001665160-17-000426	32	NM
0001665160-17-000426	33	NY
0001665160-17-000426	34	NC
0001665160-17-000426	35	ND
0001665160-17-000426	36	OH
0001665160-17-000426	37	OK
0001665160-17-000426	38	OR
0001665160-17-000426	39	PA
0001665160-17-000426	40	PR
0001665160-17-000426	41	RI
0001665160-17-000426	42	SC
0001665160-17-000426	43	SD
0001665160-17-000426	44	TN
0001665160-17-000426	45	TX
0001665160-17-000426	46	UT
0001670254-17-000264	24	MN
0001670254-17-000264	25	MS
0001670254-17-000264	26	MO
0001670254-17-000264	27	MT
0001670254-17-000264	28	NE
0001670254-17-000264	29	NV
0001670254-17-000264	30	NH
0001670254-17-000264	31	NJ
0001670254-17-000264	32	NM
0001670254-17-000264	33	NY
0001670254-17-000264	34	NC
0001670254-17-000264	35	ND
0001670254-17-000264	36	OH
0001670254-17-000264	37	OK
0001670254-17-000264	38	OR
0001670254-17-000264	39	PA
0001670254-17-000264	40	RI
0001670254-17-000264	41	SC
0001670254-17-000264	42	SD
0001670254-17-000264	43	TN
0001670254-17-000264	44	TX
0001670254-17-000264	45	UT
0001670254-17-000264	46	VT
0001670254-17-000264	47	VA
0001670254-17-000264	48	WA
0001670254-17-000264	49	WV
0001670254-17-000264	50	WI
0001670254-17-000264	51	WY
0001670254-17-000264	52	B5
0001670254-17-000264	53	GU
0001670254-17-000264	54	PR
0001670254-17-000264	55	VI
0001670254-17-000264	56	1V
0001670254-17-000264	1	AL
0001670254-17-000264	2	AK
0001670254-17-000264	3	AZ
0001670254-17-000264	4	AR
0001670254-17-000264	5	CA
0001670254-17-000264	6	CO
0001670254-17-000264	7	CT
0001670254-17-000264	8	DE
0001670254-17-000264	9	DC
0001670254-17-000264	10	FL
0001670254-17-000264	11	GA
0001670254-17-000264	12	HI
0001670254-17-000264	13	ID
0001670254-17-000264	14	IL
0001670254-17-000264	15	IN
0001670254-17-000264	16	IA
0001670254-17-000264	17	KS
0001670254-17-000264	18	KY
0001670254-17-000264	19	LA
0001670254-17-000264	20	ME
0001670254-17-000264	21	MD
0001670254-17-000264	22	MA
0001670254-17-000264	23	MI
0001665160-17-000426	47	VT
0001665160-17-000426	48	VA
0001665160-17-000426	49	WA
0001665160-17-000426	1	AL
0001665160-17-000426	2	AK
0001665160-17-000426	3	AZ
0001665160-17-000426	4	AR
0001665160-17-000426	5	CA
0001717605-17-000001	25	MS
0001717605-17-000001	24	MN
0001717605-17-000001	27	MT
0001717605-17-000001	28	NE
0001717605-17-000001	29	NV
0001717605-17-000001	30	NH
0001717605-17-000001	31	NJ
0001717605-17-000001	32	NM
0001717605-17-000001	33	NY
0001717605-17-000001	34	NC
0001717605-17-000001	35	ND
0001717605-17-000001	36	OH
0001717605-17-000001	37	OK
0001717605-17-000001	38	OR
0001717605-17-000001	39	PA
0001717605-17-000001	40	PR
0001717605-17-000001	41	RI
0001717605-17-000001	42	SC
0001717605-17-000001	43	SD
0001717605-17-000001	44	TN
0001717605-17-000001	45	TX
0001717605-17-000001	46	UT
0001717605-17-000001	47	VT
0001717605-17-000001	48	VA
0001717605-17-000001	49	WA
0001717605-17-000001	50	WV
0001717605-17-000001	51	WI
0001717605-17-000001	52	WY
0001717605-17-000001	53	A0
0001717605-17-000001	54	A1
0001717605-17-000001	55	A2
0001717605-17-000001	56	A3
0001717605-17-000001	57	A4
0001717605-17-000001	58	A5
