,CIK,FILING_DATE,SUBMISSION_TYPE,OFFERINGAMOUNT,PROGRESSUPDATE,NATUREOFAMENDMENT,MAXIMUMOFFERINGAMOUNT,CURRENTEMPLOYEES,TOTALASSETMOSTRECENTFISCALYEAR,TOTALASSETPRIORFISCALYEAR,CASHEQUIMOSTRECENTFISCALYEAR,CASHEQUIPRIORFISCALYEAR,ACTRECEIVEDRECENTFISCALYEAR,ACTRECEIVEDPRIORFISCALYEAR,SHORTTERMDEBTMRECENTFISCALYEAR,SHORTTERMDEBTPRIORFISCALYEAR,LONGTERMDEBTRECENTFISCALYEAR,LONGTERMDEBTPRIORFISCALYEAR,NETINCOMEMOSTRECENTFISCALYEAR,NETINCOMEPRIORFISCALYEAR,Form_C_Number,Funding_Success
102,1677548,2016-07-26,C,100000.0,,,1000000.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
107,1680323,2016-07-27,C,75000.0,,To extend the offering termination date and update certain terms of the offering.,150000.0,3.0,149674.0,0.0,129919.0,0.0,0.0,0.0,12522.0,0.0,150000.0,0.0,-12848.0,0.0,1,1
108,1678967,2016-07-27,C,300000.0,,,1000000.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
112,1674102,2016-07-29,C,50000.0,,,100000.0,5.0,116651.0,0.0,17768.98,0.0,0.0,0.0,120000.0,0.0,0.0,0.0,-4049.0,0.0,1,1
115,1681345,2016-08-02,C,100000.0,,,1000000.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
117,1680634,2016-08-03,C,100000.0,,,625000.0,5.0,7800.0,0.0,30000.0,0.0,0.0,0.0,15000.0,0.0,0.0,0.0,0.0,0.0,1,0
125,1680454,2016-08-04,C,50000.0,,,100000.0,4.0,307.29,100.0,307.29,100.0,0.0,0.0,0.0,0.0,0.0,0.0,-2992.71,0.0,1,0
126,1662923,2016-08-05,C,50000.0,,,1000000.0,2.0,700.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,-1815.0,0.0,1,0
127,1678705,2016-08-08,C,50000.0,,,500000.0,2.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-596.0,0.0,1,1
1122,1678705,2017-08-04,C,50000.0,,,415330.0,3.0,71623.0,0.0,71623.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10907.0,0.0,2,0
129,1681078,2016-08-08,C,250000.0,,,1000000.0,1.0,27825.0,27666.0,12086.0,3189.0,0.0,0.0,125476.0,81522.0,320000.0,100000.0,-193400.0,-100418.0,1,0
131,1668076,2016-08-10,C,300000.0,,,1000000.0,15.0,910337.0,0.0,67308.0,0.0,0.0,0.0,70944.0,0.0,2746948.0,0.0,-1907555.0,0.0,1,0
132,1681772,2016-08-10,C,110000.0,,,1000000.0,1.0,37194.0,0.0,8249.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
133,1681334,2016-08-10,C,250000.0,,,1000000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
134,1679664,2016-08-10,C,100000.0,,,1000000.0,5.0,187737.0,249450.0,66031.0,200425.0,30156.0,3473.0,991.0,3595.0,430138.0,405988.0,-83890.0,-78722.0,1,1
141,1682495,2016-08-18,C,100000.0,,,1000000.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
143,1682385,2016-08-19,C,100000.0,,,1000000.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
144,1617365,2016-08-19,C,50000.0,,,1000000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
151,1445095,2016-08-23,C,25000.0,,,99900.0,1.0,1625200.0,1491568.0,29079.0,179326.0,0.0,0.0,0.0,0.0,0.0,0.0,-380247.0,-114462.0,1,0
154,1682883,2016-08-24,C,100000.0,,,1000000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
156,1682664,2016-08-25,C,100000.0,,,1000000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
159,1681286,2016-08-25,C,40000.0,,,99999.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
2815,1681286,2018-06-15,C,10000.0,,,1070000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0
161,1683099,2016-08-26,C,100000.0,,,1000000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
163,1683264,2016-08-29,C,50000.0,,,100000.0,3.0,70764.0,72105.0,10054.0,21.0,0.0,0.0,0.0,1660.0,0.0,53327.0,-10793.0,-12745.0,1,0
166,1682915,2016-08-29,C,1000000.0,,,,3.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
172,1683513,2016-08-30,C,100000.0,,,1000000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
173,1682240,2016-08-30,C,150000.0,,,250000.0,2.0,70722.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
177,1683638,2016-09-01,C,100000.0,,,1000000.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
180,1682697,2016-09-08,C,100000.0,,,1000000.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
181,1684220,2016-09-08,C,100000.0,,,1000000.0,0.0,61130.0,125189.0,57805.0,121864.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
183,1681978,2016-09-09,C,50000.0,"The final number is 10,000 shares sold for a total investment of $1,000,000.00. The deadline date was set to today to work around an EDGAR glitch but the offering actually closed on 08-29-16.",,1000000.0,7.0,266801.0,85834.0,260071.0,79249.0,0.0,0.0,0.0,0.0,0.0,0.0,-602419.0,-13510.0,1,1
188,1681287,2016-09-14,C,50000.0,,,100000.0,3.0,57442.0,62856.0,24475.0,20421.0,4152.0,20129.0,0.0,0.0,0.0,0.0,-67075.0,-62396.0,1,1
