Funding_Success,OFFERINGAMOUNT,MAXIMUMOFFERINGAMOUNT,CURRENTEMPLOYEES,TOTALASSETMOSTRECENTFISCALYEAR,TOTALASSETPRIORFISCALYEAR,CASHEQUIMOSTRECENTFISCALYEAR,CASHEQUIPRIORFISCALYEAR,ACTRECEIVEDRECENTFISCALYEAR,ACTRECEIVEDPRIORFISCALYEAR,SHORTTERMDEBTMRECENTFISCALYEAR,SHORTTERMDEBTPRIORFISCALYEAR,LONGTERMDEBTRECENTFISCALYEAR,LONGTERMDEBTPRIORFISCALYEAR,NETINCOMEMOSTRECENTFISCALYEAR,NETINCOMEPRIORFISCALYEAR,Form_C_Number
0,25000.0,1000000.0,7,86780.0,8606.0,31076.0,5866.0,0.0,0.0,0.0,5866.0,131.0,0.0,-120410.0,-6394.0,1
0,50000.0,1000000.0,2,86780.0,8606.0,31076.0,5866.0,0.0,0.0,0.0,5866.0,131.0,0.0,-120410.0,-6394.0,2
0,50000.0,100000.0,1,8100.0,0.0,4000.0,0.0,0.0,0.0,0.0,0.0,12000.0,0.0,-28057.0,0.0,1
0,50000.0,1000000.0,2,218410.55,0.0,208960.92,0.0,0.0,0.0,14702.92,0.0,376275.49,0.0,-192650.78,0.0,1
1,100000.0,1000000.0,7,1228213.0,965104.0,200802.0,100811.0,67538.0,97723.0,938684.0,778223.0,316426.0,344994.0,-85411.0,-577998.0,1
1,10000.0,516663.0,6,110083.0,0.0,41126.0,0.0,31380.0,0.0,582.0,0.0,0.0,0.0,-136911.0,0.0,2
0,278066.0,999362.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0,250000.0,1000000.0,2,159506.0,86976.0,92937.0,16560.0,0.0,0.0,306917.0,296745.0,132221.0,118055.0,-261808.0,-288215.0,1
0,100000.0,1000000.0,0,54008.0,54129.0,2156.0,4414.0,5180.0,0.0,0.0,0.0,87504.0,74269.0,-43556.0,-87834.0,1
0,400000.0,1000000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0,200000.0,1000000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0,300000.0,1000000.0,3,2411.0,4178.0,56.0,56.0,0.0,0.0,281029.0,131131.0,0.0,135000.0,-16665.0,-184565.0,1
1,150000.0,200000.0,3,149674.0,0.0,129919.0,0.0,0.0,0.0,12522.0,0.0,150000.0,0.0,-12848.0,0.0,1
1,50000.0,100000.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1,50000.0,100000.0,3,88346.0,82967.0,5856.0,1944.0,45979.0,20879.0,271320.0,124239.0,0.0,0.0,-141702.0,-25893.0,1
0,50000.0,100000.0,3,28298.0,19536.0,28298.0,19536.0,0.0,0.0,316345.0,320237.0,0.0,0.0,0.0,0.0,1
0,50000.0,100000.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0,250000.0,1070000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1125.0,2
1,10000.0,107000.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
0,25000.0,100000.0,4,21311.56,6016.480000000001,13410.56,6016.480000000001,5401.0,0.0,4536.64,716.86,75000.0,0.0,-18439.29,76309.8,1
1,50000.0,250000.0,40,15112.0,93780.0,12017.0,93780.0,3005.0,0.0,55908.0,32877.0,268735.0,195005.0,-84471.0,-17098.0,2
0,70000.0,100000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19304.0,-3919.0,1
1,250000.0,300000.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0,60000.0,300000.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0,25000.0,100000.0,2,50285.0,0.0,285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
0,50000.0,100000.0,1,24000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0,20000.0,1000000.0,5,481084.0,31578.0,481084.0,31578.0,0.0,0.0,129497.0,0.0,0.0,0.0,-289991.0,18578.0,1
0,55555.56,400000.0,6,33019.0,3882.0,14093.0,1779.0,0.0,0.0,5499.0,0.0,2221.0,0.0,-112628.0,-220.0,1
0,100000.0,500000.0,4,866.0,1077.0,0.0,0.0,0.0,0.0,67258.0,25476.0,0.0,0.0,-41933.0,-25844.0,1
0,100000.0,1000000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0,25000.0,100000.0,2,64602.0,0.0,64602.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-398.0,0.0,1
0,40000.0,100000.0,28,429781.39,9177.23,356627.42,1931.73,16694.69,0.0,49687.45,2272.77,623666.72,0.0,-145125.84,5321.2,1
0,20000.0,100000.0,2,46402.35,0.0,15195.48,0.0,0.0,0.0,6675.5,0.0,42164.38,0.0,-237220.15,0.0,1
0,100000.0,500000.0,8,162080.0,317402.0,1813.0,63068.0,0.0,42815.0,158011.0,140511.0,0.0,0.0,60060.0,-210022.0,1
1,50000.0,500000.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0,25000.0,535000.0,10,54922.0,0.0,54922.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2930.0,0.0,2
1,100000.0,500000.0,1,22199.0,12219.0,22199.0,12219.0,0.0,0.0,0.0,0.0,60000.0,0.0,51179.0,7781.0,1
1,465000.0,999999.0,2,1000.0,2706.0,0.0,1039.0,0.0,0.0,60000.0,0.0,145000.0,135000.0,-258943.0,-183821.0,1
1,25000.0,535000.0,2,200940.0,1000.0,85645.0,0.0,91000.0,0.0,417149.0,200164.0,111000.0,160000.0,-103589.0,-258943.0,2
1,100000.0,500000.0,2,47264.0,44509.0,16351.0,8399.0,4727.0,6051.0,100645.0,80364.0,0.0,0.0,-50654.0,-35506.0,1
0,110000.0,1000000.0,0,2359.0,0.0,2359.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,1
0,50000.0,1000000.0,3,135709.0,226987.0,4101.0,216987.0,128438.0,0.0,2150103.0,1330305.0,100000.0,255000.0,-764698.0,-883461.0,1
1,25000.0,750000.0,3,135709.0,226987.0,4101.0,216987.0,128438.0,0.0,2150103.0,1330305.0,100000.0,255000.0,-764698.0,-883461.0,2
0,50000.0,100000.0,4,39302.0,32769.0,857.0,2769.0,0.0,0.0,0.0,0.0,29020.0,20300.0,-10256.0,-2531.0,1
0,100000.0,1000000.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1,75000.0,150000.0,3,149674.0,0.0,129919.0,0.0,0.0,0.0,12522.0,0.0,150000.0,0.0,-12848.0,0.0,1
1,300000.0,1000000.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1,50000.0,100000.0,5,116651.0,0.0,17768.98,0.0,0.0,0.0,120000.0,0.0,0.0,0.0,-4049.0,0.0,1
0,100000.0,1000000.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0,100000.0,625000.0,5,7800.0,0.0,30000.0,0.0,0.0,0.0,15000.0,0.0,0.0,0.0,0.0,0.0,1
0,50000.0,100000.0,4,307.29,100.0,307.29,100.0,0.0,0.0,0.0,0.0,0.0,0.0,-2992.71,0.0,1
0,50000.0,1000000.0,2,700.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,-1815.0,0.0,1
1,50000.0,500000.0,2,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-596.0,0.0,1
0,50000.0,415330.0,3,71623.0,0.0,71623.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10907.0,0.0,2
0,250000.0,1000000.0,1,27825.0,27666.0,12086.0,3189.0,0.0,0.0,125476.0,81522.0,320000.0,100000.0,-193400.0,-100418.0,1
0,300000.0,1000000.0,15,910337.0,0.0,67308.0,0.0,0.0,0.0,70944.0,0.0,2746948.0,0.0,-1907555.0,0.0,1
0,110000.0,1000000.0,1,37194.0,0.0,8249.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1,250000.0,1000000.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1,100000.0,1000000.0,5,187737.0,249450.0,66031.0,200425.0,30156.0,3473.0,991.0,3595.0,430138.0,405988.0,-83890.0,-78722.0,1
0,100000.0,1000000.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0,100000.0,1000000.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1,50000.0,1000000.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0,25000.0,99900.0,1,1625200.0,1491568.0,29079.0,179326.0,0.0,0.0,0.0,0.0,0.0,0.0,-380247.0,-114462.0,1
0,100000.0,1000000.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0,100000.0,1000000.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1,40000.0,99999.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0,10000.0,1070000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
0,100000.0,1000000.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0,50000.0,100000.0,3,70764.0,72105.0,10054.0,21.0,0.0,0.0,0.0,1660.0,0.0,53327.0,-10793.0,-12745.0,1
0,100000.0,1000000.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1,150000.0,250000.0,2,70722.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0,100000.0,1000000.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0,100000.0,1000000.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1,100000.0,1000000.0,0,61130.0,125189.0,57805.0,121864.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1,50000.0,1000000.0,7,266801.0,85834.0,260071.0,79249.0,0.0,0.0,0.0,0.0,0.0,0.0,-602419.0,-13510.0,1
1,50000.0,100000.0,3,57442.0,62856.0,24475.0,20421.0,4152.0,20129.0,0.0,0.0,0.0,0.0,-67075.0,-62396.0,1
1,100000.0,803359.0,10,127192.0,48382.0,127192.0,24475.0,0.0,0.0,13347.0,53199.0,20188.0,122545.0,-160907.0,-75996.0,2
1,100000.0,500000.0,7,685989.0,0.0,114505.0,0.0,29412.0,0.0,331814.0,0.0,94000.0,0.0,-272109.0,0.0,1
1,9999.4,399160.0,3,46062.0,0.0,30792.0,0.0,12270.0,0.0,100000.0,0.0,0.0,0.0,-66389.0,0.0,2
1,69996.0,999996.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0,100000.0,1000000.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0,100000.0,1000000.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
0,100000.0,1000000.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
0,100000.0,1000000.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
0,100000.0,1000000.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
1,100000.0,1000000.0,3,29903.0,0.0,3422.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26710.0,0.0,1
0,100000.0,1000000.0,9,121951.0,59451.0,114544.0,49150.0,0.0,0.0,655000.0,130000.0,0.0,0.0,-614696.0,-338178.0,1
1,65000.0,100000.0,1,89288.22,0.0,38295.22,0.0,0.0,0.0,5079.36,0.0,38159.98,0.0,15732.09,0.0,1
0,100000.0,1000000.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0,100000.0,1000000.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0,251000.0,251000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0,250000.0,1000000.0,1,0.0,0.0,0.0,0.0,0.0,0.0,33749.0,0.0,170325.0,0.0,-204074.0,0.0,1
1,100000.0,1000000.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0,100000.0,800000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1,10000.0,1070000.0,7,197214.0,0.0,3773.0,0.0,26248.0,0.0,71709.0,0.0,164835.0,0.0,-68202.0,0.0,2
0,20000.0,1070000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,135847.0,0.0,0.0,0.0,0.0,0.0,3
1,100000.0,150000.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1,125000.0,360000.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1,100000.0,1000000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1,25000.0,100000.0,3,116973.0,0.0,92412.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40552.0,-15000.0,1
1,50000.0,1000000.0,4,44069.32,94170.58,25686.5,85437.41,14000.0,4375.35,288816.74,214714.79,700052.83,626862.51,-278655.68,-428787.41,1
1,9999.55,275000.0,4,111687.97,44069.32,100537.97,25686.5,8450.0,14000.0,337924.21,288816.74,416587.19,411236.09,-130536.83,-278655.68,2
0,100000.0,1000000.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1,10000.0,100000.0,5,4657.0,3750.0,4657.0,3750.0,0.0,0.0,0.0,0.0,0.0,0.0,-38768.0,-20350.0,1
0,50000.0,100000.0,4,9875.0,35000.0,9875.0,35000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0,100000.0,1000000.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0,100000.0,500000.0,2,22840.0,0.0,19340.0,0.0,0.0,0.0,422.0,0.0,40552.0,0.0,-22780.0,0.0,1
1,50000.0,107000.0,0,124711.0,96112.0,2.0,64973.0,0.0,0.0,163466.0,12247.0,0.0,0.0,-135222.0,-269086.0,2
0,50000.0,1000000.0,7,1293377.0,1704357.0,425569.0,809238.0,57600.0,83142.0,2416993.0,2339580.0,0.0,0.0,-2381300.0,-2726626.0,1
1,9999.7,106999.64,3,28540.0,0.0,28540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
1,40000.0,200000.0,28,557996.0,9383.0,359913.0,1932.0,19881.0,1713.0,71735.0,3693.0,706111.0,3693.0,-153805.0,-14339.0,1
1,50000.0,107000.0,1,95063.0,-10522.0,79391.0,1297.0,2400.0,0.0,11.76,1718.0,174644.0,0.0,-79110.0,-11240.0,2
0,25000.0,100000.0,6,843125.0,0.0,70337.0,0.0,0.0,0.0,70000.0,0.0,175000.0,0.0,-174663.0,0.0,1
0,50000.0,100000.0,4,384158.0,541467.0,9004.0,285505.0,40499.0,11547.0,263887.0,62118.0,1309979.0,644979.0,-1288982.0,-469030.0,1
0,25000.0,100000.0,5,42925.0,17957.0,10834.0,7767.0,11535.0,0.0,16363.0,11134.0,3800.0,3800.0,-15741.0,23.0,2
1,100000.0,1000000.0,4,1088600.0,443871.0,764414.0,158041.0,0.0,0.0,274823.0,169698.0,736097.0,121327.0,-55666.0,73128.0,1
1,200000.0,550000.0,8,559684.0,0.0,392970.0,0.0,1401.0,0.0,0.0,0.0,0.0,0.0,-57247.0,0.0,1
1,50000.0,500000.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
0,60000.0,1000000.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1,100000.0,1000000.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0,50000.0,1000000.0,6,398638.0,52042.0,23347.0,21495.0,6608.0,13610.0,259736.0,180500.0,565041.0,580124.0,-181769.0,-561639.0,1
1,20000.0,25000.0,9,44293.0,0.0,35293.0,0.0,0.0,0.0,14323.0,0.0,49200.0,800.0,-19230.0,-800.0,1
0,500000.0,1000000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0,200000.0,500000.0,10,679312.0,0.0,244325.0,0.0,0.0,0.0,42592.0,0.0,791038.0,0.0,-155318.0,0.0,2
0,65000.0,100000.0,1,27571.85,0.0,27571.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-132428.15,0.0,1
0,10000.0,100000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0,50000.0,1000000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0,50000.0,100000.0,10,583711.0,246008.0,383616.0,107231.0,116862.0,57087.0,0.0,0.0,1099957.0,799957.0,-72133.0,-9560.0,1
0,100000.0,1000000.0,0,43306.42,0.0,14062.14,0.0,0.0,0.0,20000.0,0.0,25000.0,0.0,-16505.49,0.0,1
0,50000.0,1000000.0,5,9353.0,14800.0,9353.0,14800.0,0.0,0.0,4100.0,3300.0,0.0,0.0,-6247.0,-3939.0,1
1,50000.0,1000000.0,5,9353.0,14800.0,9353.0,14800.0,0.0,0.0,4100.0,3300.0,0.0,0.0,-6247.0,-3939.0,1
1,300000.0,1000000.0,2,170000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170000.0,0.0,0.0,0.0,1
1,53100.0,1000000.0,3,1.024187866E7,0.0,3878.66,0.0,5000.0,0.0,0.0,0.0,20050.0,0.0,-11521.34,0.0,1
1,50000.0,107000.0,6,454615.0,322.0,382307.0,322.0,0.0,0.0,4000.0,0.0,69048.0,0.0,-459349.0,-19624.0,2
0,50000.0,500000.0,2,322.0,0.0,322.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19624.0,-10881.0,1
1,50000.0,300000.0,9,1633216.0,200081.0,979242.0,119614.0,0.0,0.0,32000.0,0.0,1588819.0,100000.0,-277547.0,-28608.0,1
1,50000.0,100000.0,5,261055.77,176000.91,641.15,4498.62,7.62,0.0,332753.01,250794.91,0.0,0.0,3096.76,-30542.61,1
0,150000.0,1000000.0,31,855863.0,741827.0,744494.0,713258.0,0.0,0.0,0.0,0.0,0.0,0.0,-3488790.0,-1374306.0,1
1,200000.0,1000000.0,4,789678.0,833451.0,774459.0,827900.0,10000.0,0.0,22021.0,38652.0,3195292.0,2430292.0,-802014.0,-977491.0,1
1,150000.0,300000.0,5,170088.0,611545.0,78960.0,543048.0,0.0,0.0,867931.0,0.0,0.0,862965.0,-531862.0,-299639.0,1
1,100000.0,1000000.0,2,58738.0,0.0,0.0,0.0,0.0,0.0,237164.0,0.0,0.0,0.0,-178426.0,0.0,1
0,100000.0,1000000.0,8,2531201.0,2413943.0,92379.0,76366.0,97508.0,132173.0,97236.0,82652.0,578511.0,1195759.0,-188301.0,290353.0,1
1,300000.0,1000000.0,20,661672.0,559379.0,17911.0,16580.0,0.0,0.0,240501.0,190945.0,283291.0,247698.0,184842.0,-75585.0,1
0,300000.0,1070000.0,20,4044706.0,1175732.0,126975.0,533542.0,0.0,0.0,838969.0,155226.0,984455.0,208319.0,-530619.0,72015.0,2
0,25000.0,100000.0,5,20254.25,65496.13000000001,17677.98,65496.13000000001,0.0,0.0,0.0,300.94,278.33,2247.8,-42971.47,-32290.61,1
0,10000.0,100000.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0,50000.0,1000000.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0,50000.0,1000000.0,0,110596.0,103660.0,6773.0,6447.0,0.0,0.0,0.0,0.0,0.0,0.0,-207066.0,-155484.0,1
0,200000.0,1000000.0,10,249924.0,188771.0,124025.0,175503.0,15052.0,900.0,124512.0,228086.0,17724.0,17724.0,7356.0,601.0,1
1,100000.0,300000.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0,50000.0,100000.0,2,6304.0,0.0,3083.0,0.0,0.0,0.0,4392.0,0.0,0.0,0.0,1887.0,0.0,1
